Categoria A,Categoria B,Pearson (r),Pearson (p),Spearman (ρ),Spearman (p),Correlação Absoluta
Saúde,Gás,0.0899220919099109,0.4461105990656923,0.2837115008919365,0.014301913476447591,0.0899220919099109
Cinema,Livros,-0.08941985118292925,0.44866501866824454,-0.09050498937524565,0.44315614810984816,0.08941985118292925
"transporte, Uber/Táxi, ônibus","Ifood/Semelhantes, Lanches/Almoço extra",0.08723743137915728,0.4598587993599279,0.0740345810838387,0.5307325019950235,0.08723743137915728
Internet,Games,-0.08622039077770756,0.46512707652260954,-0.17575304485901028,0.13417710216096274,0.08622039077770756
"Rolês/Saídas, Shows/Eventos, Restaurantes/Bares",aluguel,0.08615949247370737,0.46544356905470957,0.5899358981461769,3.1834736794153086e-08,0.08615949247370737
celular,Livros,-0.08510634055083492,0.4709353628964586,-0.08632400532912256,0.4645888541243792,0.08510634055083492
aluguel,Internet,-0.08395618621530279,0.4769727555387888,-0.47291884374450033,2.0919760273515236e-05,0.08395618621530279
aluguel,Gás,0.0836748413047334,0.4784558806583419,0.4781118014987125,1.64629510207788e-05,0.0836748413047334
celular,Internet,0.07867240903226864,0.5052335913294926,-0.20679107668582372,0.07710093293925623,0.07867240903226864
aluguel,Bugigangas,0.07836424612055262,0.5069080590920277,0.2807836759569981,0.015382925275825148,0.07836424612055262
Internet,Livros,-0.07714960462306605,0.5135357656784456,-0.0038006132177395226,0.9743623105577088,0.07714960462306605
